Header,Subheader,Page,Y_Start,Y_End,Font_Size,Source,Header_Start_Page,Header_End_Page,text_for_classification,classification
Delivering,,1,654.11,708.79,40,Digital,1,1,Delivering ,Generic
Critical,,1,654.11,708.79,40,Digital,1,1,Critical ,Generic
Connections,,1,694.11,748.79,40,Digital,1,1,Connections ,Generic
Welcome to,,2,30.43,93.36,48,Digital,2,2,Welcome to ,Generic
Volex’s 2024,,2,76.51,142.12,48,Digital,2,2,Volex’s 2024 ,Financial
Annual Report,,2,124.51,190.12,48,Digital,2,3,Annual Report ,Financial
,Technology drives our world,2,204.66,222.92,14,Digital,2,3, Technology drives our world,Generic
,and,2,221.17,239.43,14,Digital,2,3, and,Generic
,Volex,2,220.69,239.48,14,Digital,2,3, Volex,Generic
,provides the,2,221.17,239.43,14,Digital,2,3, provides the,Generic
,critical connection,2,237.68,255.93,14,Digital,2,3, critical connection,Generic
,How we make a difference,2,425.29,444.08,14,Digital,2,3, How we make a difference,Generic
,Contents,3,487.82,506.61,14,Digital,2,3, Contents,Generic
,Financial highlights,3,97.7,116.48,14,Digital,2,3, Financial highlights,Financial
,Non-Financial,3,377.67,396.46,14,Digital,2,3, Non-Financial,Generic
,highlights,3,394.66,413.45,14,Digital,2,3, highlights,Generic
Volex at a,,4,38.34,65.68,20,Digital,4,4,Volex at a ,Generic
glance,,4,38.34,65.68,20,Digital,4,4,glance ,Generic
,Delivering critical connections,4,111.87,130.66,14,Digital,4,4, Delivering critical connections,Generic
$372.3m,,4,168.96,201.16,24,Digital,4,4,$372.3m ,Financial
$185.1m,,4,168.96,201.16,24,Digital,4,4,$185.1m ,Financial
$355.4m,,4,168.96,201.16,24,Digital,4,5,$355.4m ,Financial
,$123.7m,4,479.59,497.04,13,Digital,4,5, $123.7m,Financial
,(10.6)%,4,479.89,497.0,13,Digital,4,5, (10.6)%,Financial
,$235.3m,4,479.59,497.04,13,Digital,4,5, $235.3m,Financial
,(9.4)%,4,479.89,497.0,13,Digital,4,5, (9.4)%,Financial
,$177.5m,4,658.72,676.17,13,Digital,4,5, $177.5m,Financial
,+22.4%,4,659.02,676.13,13,Digital,4,5, +22.4%,Financial
,$213.4m,4,658.72,676.17,13,Digital,4,5, $213.4m,Financial
,+35.4%,4,659.02,676.13,13,Digital,4,5, +35.4%,Financial
,$162.9m,4,658.72,676.17,13,Digital,4,5, $162.9m,
,+632.4%,4,659.02,676.13,13,Digital,4,5, +632.4%,
,In five end-markets,4,412.26,431.05,14,Digital,4,5, In five end-markets,
,Our Products,5,330.42,349.21,14,Digital,4,5, Our Products,
Our investment,,6,38.34,65.68,20,Digital,6,6,Our investment ,
proposition,,6,38.34,65.68,20,Digital,6,6,proposition ,
+27%,,6,410.56,442.77,24,Digital,6,6,+27% ,
+6.9%,,6,410.56,442.77,24,Digital,6,6,+6.9% ,
$4m,,6,733.69,765.9,24,Digital,6,6,$4m ,
$3m,,6,733.69,765.9,24,Digital,6,6,$3m ,
"$1,200m",,7,657.91,690.11,24,Digital,7,7,"$1,200m ",
9-10%,,7,720.75,752.96,24,Digital,7,7,9-10% ,
$200m,,7,773.59,805.8,24,Digital,7,7,$200m ,
,What differentiates Volex,7,126.05,144.84,14,Digital,7,7, What differentiates Volex,
,Firmly on track,7,535.34,554.12,14,Digital,7,7, Firmly on track,
,with our five-year plan,7,552.33,571.12,14,Digital,7,7, with our five-year plan,
Delivering,,8,38.34,65.68,20,Digital,1,1,Delivering ,
critical connections,,8,38.34,65.68,20,Digital,8,16,critical connections ,
We are,,8,112.63,175.56,48,Digital,8,8,We are ,
making this,,8,110.71,176.33,48,Digital,8,8,making this ,
a reality,,8,158.71,224.33,48,Digital,8,8,a reality ,
by:,,8,160.63,223.56,48,Digital,8,9,by: ,
,Providing solutions for,8,295.33,314.12,14,Digital,8,9, Providing solutions for,
,the digital world,8,312.33,331.12,14,Digital,8,9, the digital world,
,Transforming our,8,542.35,561.14,14,Digital,8,9, Transforming our,
,business,8,559.35,578.14,14,Digital,8,9, business,
,Innovating,9,295.33,314.12,14,Digital,8,9, Innovating,
,successfully,9,312.33,331.12,14,Digital,8,9, successfully,
,Delivering on our,9,542.35,561.14,14,Digital,8,9, Delivering on our,
,acquisition strategy,9,559.35,578.14,14,Digital,8,9, acquisition strategy,
Providing solutions,,10,112.63,175.56,48,Digital,10,10,Providing solutions ,
for the,,10,160.63,223.56,48,Digital,10,10,for the ,
digital,,10,158.71,224.33,48,Digital,10,10,digital ,
world,,10,206.71,272.33,48,Digital,10,10,world ,
Delivering,,10,38.34,65.68,20,Digital,1,1,Delivering ,
critical connections,,10,38.34,65.68,20,Digital,8,16,critical connections ,
,Essential power and connectivity for everything we,11,126.52,144.78,14,Digital,8,16, Essential power and connectivity for everything we,
,"use in our lives, from simple household items to",11,143.03,161.29,14,Digital,8,16," use in our lives, from simple household items to",
,sophisticated equipment.,11,159.53,177.79,14,Digital,8,16, sophisticated equipment.,
Delivering,,12,38.34,65.68,20,Digital,1,1,Delivering ,
critical connections,,12,38.34,65.68,20,Digital,8,16,critical connections ,
Transforming,,12,110.71,176.33,48,Digital,12,12,Transforming ,
our business,,12,160.63,223.56,48,Digital,12,13,our business ,
